id,v,w,p,c,pID,instanceNumber,block,trial,answer,correct,timeSpent,randomYes.1.Left.No.Right.Yes.,xyCoordinates,error,type,sol,phaseT,ExpVersion,propagations,decisions,totalValues,totalWeights,nCapacity,nProfit,nSolutions,opt_profit,nProfit_opt,dist_opt_p,n_dist_opt_p,ICexpost
0-0.43-0.39,"8,6,3,45,7,16","29,1,38,43,6,23",33,60,be22,64,3,5,1,1,2.004464,1,"(2.5,0.5)(0,5)(7.5,2)(0.5,2)(5.5,5.5)(3,6)",NA,6,1,0,V4,135,5,85,140,0.42857142857142855,0.38823529411764707,5,58,0.6823529411764706,-25,-0.29411764705882354,0.29411764705882354
0-0.43-0.39,"8,6,3,45,7,16","29,1,38,43,6,23",33,60,be14,64,2,22,1,1,2.002975,1,"(7,6)(1,2)(8,2)(1.5,5.5)(4,6)(4,0.5)",NA,6,1,0,V4,135,5,85,140,0.42857142857142855,0.38823529411764707,5,58,0.6823529411764706,-25,-0.29411764705882354,0.29411764705882354
0-0.43-0.39,"8,6,3,45,7,16","29,1,38,43,6,23",33,60,be32,64,1,17,1,1,2.00071,0,"(0.5,1)(7,2.5)(0.5,5)(6.5,5.5)(4,5.5)(7.5,0.5)",NA,6,1,0,V4,135,5,85,140,0.42857142857142855,0.38823529411764707,5,58,0.6823529411764706,-25,-0.29411764705882354,0.29411764705882354
0-0.43-0.39,"8,6,3,45,7,16","29,1,38,43,6,23",33,60,be18,64,2,22,1,1,2.003646,0,"(2,1)(0,3.5)(6.5,0.5)(6,5.5)(2,4.5)(7.5,3)",NA,6,1,0,V4,135,5,85,140,0.42857142857142855,0.38823529411764707,5,58,0.6823529411764706,-25,-0.29411764705882354,0.29411764705882354
0-0.43-0.39,"8,6,3,45,7,16","29,1,38,43,6,23",33,60,be16,64,3,17,0,0,2.004114,0,"(1.5,2.5)(2,0)(5.5,0.5)(1.5,5.5)(8,5.5)(7.5,1)",NA,6,1,0,V4,135,5,85,140,0.42857142857142855,0.38823529411764707,5,58,0.6823529411764706,-25,-0.29411764705882354,0.29411764705882354
0-0.43-0.39,"8,6,3,45,7,16","29,1,38,43,6,23",33,60,be23,64,1,9,0,0,2.000857,1,"(7.5,5.5)(4.5,0.5)(7,3.5)(0.5,5)(1.5,1)(6.5,1)",NA,6,1,0,V4,135,5,85,140,0.42857142857142855,0.38823529411764707,5,58,0.6823529411764706,-25,-0.29411764705882354,0.29411764705882354
0-0.43-0.39,"8,6,3,45,7,16","29,1,38,43,6,23",33,60,be27,64,2,21,1,1,2.000987,1,"(7,2.5)(2.5,5.5)(3.5,1)(6,5.5)(1.5,3)(0.5,6)",NA,6,1,0,V4,135,5,85,140,0.42857142857142855,0.38823529411764707,5,58,0.6823529411764706,-25,-0.29411764705882354,0.29411764705882354
0-0.43-0.39,"8,6,3,45,7,16","29,1,38,43,6,23",33,60,be24,64,1,21,0,0,2.002742,0,"(8,0.5)(6.5,2.5)(1,5)(1,1)(7.5,5)(5,0.5)",NA,6,1,0,V4,135,5,85,140,0.42857142857142855,0.38823529411764707,5,58,0.6823529411764706,-25,-0.29411764705882354,0.29411764705882354
0-0.43-0.39,"8,6,3,45,7,16","29,1,38,43,6,23",33,60,be33,64,2,2,1,1,2.001501,1,"(7.5,5.5)(7,1.5)(1,6)(1,3)(1.5,0.5)(5.5,6)",NA,6,1,0,V4,135,5,85,140,0.42857142857142855,0.38823529411764707,5,58,0.6823529411764706,-25,-0.29411764705882354,0.29411764705882354
0-0.43-0.39,"8,6,3,45,7,16","29,1,38,43,6,23",33,60,be21,64,3,17,0,0,2.001952,0,"(0.5,4)(7,5.5)(6.5,1.5)(1,1)(1.5,6)(4.5,0.5)",NA,6,1,0,V4,135,5,85,140,0.42857142857142855,0.38823529411764707,5,58,0.6823529411764706,-25,-0.29411764705882354,0.29411764705882354
