pID;instanceNumber;block;trial;answer;correct;timeSpent;randomYes.1.Left.No.Right.Yes.;error;v;l;id;type;sol;nVariables;nLiterals;nClauses;ratio;phaseT;region;solution;solvetime;restarts;conflicts;decisions;propagations;clauses;literals
sat02; 1;3;11;0;1; 93,7861400;0;NA;2,4,5,1,2,5,1,3,5,1,2,3,1,2,5,2,3,4,1,4,5,1,4,5,2,4,5,3,4,5,1,3,5,1,3,4,2,3,4,1,2,4,2,3,4,1,3,5,1,3,4,2,4,5,1,2,4,1,2,5,1,3,4,1,2,5,1,4,5,3,4,5;1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1;4.8-45;1;0;5; 72;24;4,8;1;Phase Transition;0;0,000;1;4;3; 8;24;5
sat02; 2;4;11;0;1; 82,1873300;1;NA;3,4,5,3,4,5,1,3,5,1,3,5,1,3,4,3,4,5,2,3,5,1,3,5,1,4,5,1,2,3,2,4,5,1,4,5,3,4,5,1,3,5,2,3,5,2,3,4,1,2,5,2,3,4,1,3,5,1,3,4,2,4,5,1,2,4,1,4,5,2,3,4;0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0;4.8-89;1;0;5; 72;24;4,8;1;Phase Transition;0;0,000;1;4;3; 8;24;5
sat02; 3;2;11;0;1; 85,5315200;0;NA;3,4,5,1,2,5,1,4,5,1,4,5,1,2,5,2,3,4,1,3,5,1,3,4,1,2,4,1,4,5,1,2,5,1,2,4,1,2,3,1,3,5,1,3,4,2,4,5,2,4,5,2,3,4,2,3,5,2,3,5,1,2,4,1,2,5,1,4,5,1,2,4;0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1;4.8-592;1;0;5; 72;24;4,8;1;Phase Transition;0;0,000;1;4;3; 9;24;5
sat02; 4;3;12;0;1; 63,6716800;1;NA;1,3,5,3,4,5,1,2,3,1,3,4,1,2,3,1,2,5,2,4,5,2,4,5,1,3,4,1,2,5,2,3,4,1,2,5,1,2,3,1,2,4,2,3,4,1,3,4,2,4,5,1,2,4,2,4,5,1,2,4,1,4,5,1,3,4,1,2,4,1,3,4;1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0;4.8-842;1;0;5; 72;24;4,8;1;Phase Transition;0;1,011;1;4;3; 9;24;5
sat02; 5;2;12;0;1; 69,0708500;1;NA;1,2,3,1,2,5,1,3,5,1,3,5,1,2,3,1,2,5,2,4,5,1,3,5,2,3,5,1,2,4,2,3,4,2,3,5,1,2,3,1,2,3,1,2,3,1,2,3,2,4,5,3,4,5,2,3,5,1,2,5,1,2,5,1,3,4,2,3,5,1,2,4;0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1;4.8-885;1;0;5; 72;24;4,8;1;Phase Transition;0;0,000;1;4;3; 8;24;5
sat02; 6;4;12;0;1; 70,4892000;1;NA;3,4,5,3,4,5,1,3,5,1,3,4,1,3,4,1,2,3,2,3,5,1,4,5,1,2,5,1,3,4,3,4,5,2,3,4,1,3,5,1,2,4,2,3,5,1,2,4,2,3,5,1,2,4,3,4,5,1,3,4,1,2,5,2,3,4,1,4,5,2,3,4;0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0;4.8-722;1;0;5; 72;24;4,8;1;Phase Transition;0;0,994;1;5;4; 9;24;5
sat02; 7;1;11;0;1; 82,1845200;0;NA;1,3,5,3,4,5,1,3,4,3,4,5,1,3,5,2,3,5,3,4,5,1,3,5,1,3,5,1,2,3,1,2,4,2,3,5,1,2,4,2,3,5,2,3,5,1,2,3,2,3,4,1,2,5,1,3,5,1,2,3,2,4,5,2,3,5,2,3,4,2,3,5;1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0;4.8-272;1;0;5; 72;24;4,8;1;Phase Transition;0;0,992;1;4;3; 9;24;5
sat02; 8;1;12;0;1; 73,2685400;1;NA;1,2,3,1,3,4,1,2,3,3,4,5,1,2,3,2,4,5,1,3,5,1,2,5,1,3,4,1,3,5,1,3,4,1,2,4,1,4,5,1,2,4,2,3,5,2,3,5,2,3,4,1,3,4,2,4,5,2,4,5,1,2,5,1,3,4,2,3,4,2,3,5;1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0;4.8-280;1;0;5; 72;24;4,8;1;Phase Transition;0;1,001;1;4;3; 9;24;5
sat02; 9;3; 1;1;1; 49,6931100;0;NA;2,4,5,3,4,5,1,3,4,1,2,3,2,3,5,2,3,4,3,4,5,1,2,5,1,3,5,1,3,5,2,3,4,1,3,5,1,2,5,1,2,4,1,3,5,2,4,5,2,3,4,1,4,5,2,3,5,1,2,3,1,2,5,1,2,5,2,3,5,3,4,5;1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1;4.8-251;2;1;5; 72;24;4,8;1;Phase Transition;1;0,991;1;1;3; 6;24;5
sat02;10;4; 1;1;1; 36,3439800;0;NA;1,3,5,3,4,5,1,2,3,1,2,5,1,3,5,1,2,5,1,3,5,1,2,5,1,4,5,3,4,5,2,4,5,1,2,5,1,2,5,1,2,3,2,3,4,1,2,4,2,4,5,3,4,5,2,3,5,1,2,4,1,3,4,1,2,4,1,2,5,1,2,4;1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1;4.8-496;2;1;5; 72;24;4,8;1;Phase Transition;1;0,950;1;0;3; 5;24;5
