pID;block;trial;citynumber.100.Reset.;In.1..Out.0..Reset.3.;time
tsp01;1; 1;  1;1; 2,7935220
tsp01;1; 1; 13;1; 3,2084920
tsp01;1; 1;  8;1; 3,8428380
tsp01;1; 1;  7;1; 4,4598920
tsp01;1; 1;  2;1; 4,9093400
tsp01;1; 1; 11;1; 5,4245990
tsp01;1; 1; 17;1; 6,0264550
tsp01;1; 1; 14;1; 6,4748730
tsp01;1; 1; 15;1; 7,7762790
tsp01;1; 1;  4;1; 8,7595580
tsp01;1; 1;  6;1; 9,3572160
tsp01;1; 1;  9;1; 9,7592070
tsp01;1; 1; 10;1;11,0420100
tsp01;1; 1; 19;1;11,8746900
tsp01;1; 1;  0;1;12,3577900
tsp01;1; 1;  5;1;12,8082900
tsp01;1; 1; 16;1;13,2742200
tsp01;1; 1; 12;1;14,2576800
tsp01;1; 1;  3;1;14,8248700
tsp01;1; 1; 18;1;15,2239900
tsp01;1; 1;  1;1;16,1747700
tsp01;1; 2;  4;1; 2,6364100
tsp01;1; 2; 17;1; 3,2026980
tsp01;1; 2; 13;1; 3,7690390
tsp01;1; 2;  5;1; 4,5020980
tsp01;1; 2; 11;1; 4,9343220
tsp01;1; 2; 10;1; 5,9515910
tsp01;1; 2; 16;1; 6,6193160
tsp01;1; 2;  9;1; 7,0521660
tsp01;1; 2; 18;1; 7,7528000
tsp01;1; 2; 14;1; 8,1003530
tsp01;1; 2;  2;1; 8,6013280
tsp01;1; 2;  7;1; 9,3833080
tsp01;1; 2; 12;1;10,2830000
tsp01;1; 2;  8;1;10,7327300
tsp01;1; 2;  3;1;11,4513800
tsp01;1; 2; 19;1;11,8681400
tsp01;1; 2;  0;1;13,2005000
tsp01;1; 2; 15;1;13,8671700
tsp01;1; 2;  1;1;14,4663400
tsp01;1; 2;  6;1;14,8010100
tsp01;1; 2;  4;1;16,0340500
tsp01;1; 3;  4;1; 2,4899560
tsp01;1; 3; 19;1; 3,2387770
tsp01;1; 3; 13;1; 3,9397050
tsp01;1; 3; 16;1; 4,9555700
tsp01;1; 3; 17;1; 5,4539150
tsp01;1; 3;  1;1; 6,0054130
tsp01;1; 3;  5;1; 6,3543740
tsp01;1; 3; 11;1; 6,8545680
tsp01;1; 3;  2;1; 7,1883660
tsp01;1; 3; 14;1; 7,7211840
tsp01;1; 3;  9;1; 8,0215630
tsp01;1; 3; 12;1; 8,4203210
tsp01;1; 3; 15;1; 8,8211440
tsp01;1; 3;  3;1;10,1049200
tsp01;1; 3;  0;1;11,1043900
tsp01;1; 3;  7;1;12,2857400
tsp01;1; 3;  6;1;12,7861800
tsp01;1; 3;  8;1;13,4864100
tsp01;1; 3; 18;1;14,9200200
tsp01;1; 3; 10;1;15,4207500
tsp01;1; 3;  4;1;16,9868800
tsp01;1; 4;  3;1; 3,5313760
tsp01;1; 4; 16;1; 4,1810190
tsp01;1; 4;  8;1; 5,1642720
tsp01;1; 4;  2;1; 5,4479450
tsp01;1; 4; 13;1; 6,2307090
tsp01;1; 4;  4;1; 7,3635940
tsp01;1; 4; 15;1; 7,8807680
tsp01;1; 4;  7;1; 8,4795150
tsp01;1; 4; 17;1; 9,2304970
tsp01;1; 4; 14;1; 9,8456230
tsp01;1; 4;  0;1;10,3129800
tsp01;1; 4; 19;1;10,8482100
tsp01;1; 4; 18;1;11,5795700
tsp01;1; 4;  1;1;12,5460900
tsp01;1; 4;  5;1;13,1630300
tsp01;1; 4;  9;1;14,0294300
tsp01;1; 4; 10;1;14,6963700
tsp01;1; 4;  6;1;15,2781000
tsp01;1; 4; 11;1;16,4466900
tsp01;1; 4; 12;1;16,9627800
tsp01;1; 4;  3;1;17,6314800
tsp01;1; 5;  1;1; 3,1772990
tsp01;1; 5; 18;1; 3,9753150
tsp01;1; 5; 13;1; 4,7606090
tsp01;1; 5; 19;1; 5,5430790
tsp01;1; 5; 15;1; 5,8757100
tsp01;1; 5; 12;1; 6,5432740
tsp01;1; 5;  2;1; 6,9414750
tsp01;1; 5;  9;1; 7,6255000
tsp01;1; 5;  6;1; 8,8578950
tsp01;1; 5;  7;1; 9,6095710
tsp01;1; 5;  4;1;11,0751100
tsp01;1; 5; 14;1;11,5071000
tsp01;1; 5; 17;1;11,8905200
tsp01;1; 5;  3;1;12,2233200
